Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
52.5,-11604.80241,5638.93448,-895.54737,1731.25096,-5130.16434,804.76362,804.69866, 
52.6,-11604.80241,5640.89334,-895.54681,1727.95966,-5131.49621,803.43175,803.36679, 
52.7,-11604.80241,5642.84314,-895.54630,1724.68073,-5132.82484,802.10312,802.03816, 
52.8,-11604.80241,5644.78294,-895.54583,1721.41434,-5134.15096,800.77701,800.71204, 
52.9,-11604.80241,5646.71378,-895.54540,1718.16017,-5135.47385,799.45411,799.38915, 
53.0,-11604.80241,5648.63474,-895.54501,1714.91841,-5136.79427,798.13370,798.06873, 
53.1,-11604.80241,5650.54636,-895.54465,1711.68886,-5138.11184,796.81612,796.75116, 
53.2,-11604.80241,5652.44916,-895.54433,1708.47132,-5139.42625,795.50172,795.43675, 
53.3,-11604.80241,5654.34225,-895.54403,1705.26598,-5140.73820,794.18976,794.12480, 
53.4,-11604.80241,5656.22664,-895.54376,1702.07253,-5142.04700,792.88096,792.81600, 
53.5,-11604.80241,5658.10142,-895.54351,1698.89113,-5143.35337,791.57460,791.50963, 
53.6,-11604.80241,5659.96712,-895.54329,1695.72161,-5144.65696,790.27100,790.20604, 
53.7,-11604.80241,5661.82429,-895.54308,1692.56377,-5145.95743,788.97053,788.90557, 
53.8,-11604.80241,5663.67201,-895.54290,1689.41779,-5147.25550,787.67246,787.60750, 
53.9,-11604.80241,5665.51130,-895.54273,1686.28336,-5148.55047,786.37749,786.31253, 
54.0,-11604.80241,5667.34126,-895.54257,1683.16066,-5149.84305,785.08491,785.01995, 
54.1,-11604.80241,5669.16243,-895.54243,1680.04951,-5151.13291,783.79506,783.73009, 
54.2,-11604.80241,5670.97532,-895.54231,1676.94971,-5152.41968,782.50828,782.44332, 
54.3,-11604.80241,5672.77905,-895.54219,1673.86145,-5153.70410,781.22387,781.15890, 
54.4,-11604.80241,5674.57460,-895.54209,1670.78443,-5154.98546,779.94251,779.87754, 
54.5,-11604.80241,5676.36111,-895.54199,1667.71882,-5156.26447,778.66350,778.59853, 
54.6,-11604.80241,5678.13909,-895.54191,1664.66444,-5157.54078,777.38718,777.32222, 
54.7,-11604.80241,5679.90906,-895.54183,1661.62110,-5158.81407,776.11389,776.04893, 
54.8,-11604.80241,5681.67014,-895.54176,1658.58899,-5160.08503,774.84294,774.77797, 
54.9,-11604.80241,5683.42331,-895.54170,1655.56782,-5161.35297,773.57499,773.51003, 
55.0,-11604.80241,5685.16770,-895.54164,1652.55774,-5162.61860,772.30936,772.24440, 
55.1,-11604.80241,5686.90383,-895.54159,1649.55859,-5163.88158,771.04639,770.98142, 
55.2,-11604.80241,5688.63220,-895.54154,1646.57019,-5165.14156,769.78640,769.72144, 
55.3,-11604.80241,5690.35194,-895.54150,1643.59271,-5166.39925,768.52871,768.46375, 
55.4,-11604.80241,5692.06402,-895.54146,1640.62587,-5167.65397,767.27399,767.20903, 
55.5,-11604.80241,5693.76758,-895.54142,1637.66983,-5168.90642,766.02155,765.95658, 
55.6,-11604.80241,5695.46313,-895.54139,1634.72443,-5170.15625,764.77172,764.70675, 
55.7,-11604.80241,5697.15116,-895.54136,1631.78949,-5171.40313,763.52484,763.45987, 
55.8,-11604.80241,5698.83081,-895.54134,1628.86518,-5172.64776,762.28021,762.21524, 
55.9,-11604.80241,5700.50305,-895.54132,1625.95122,-5173.88946,761.03851,760.97354, 
56.0,-11604.80241,5702.16700,-895.54130,1623.04778,-5175.12892,759.79904,759.73408, 
56.1,-11604.80241,5703.82318,-895.54128,1620.15469,-5176.36582,758.56215,758.49718, 
56.2,-11604.80241,5705.47207,-895.54126,1617.27179,-5177.59981,757.32815,757.26319, 
56.3,-11604.80241,5707.11282,-895.54125,1614.39923,-5178.83160,756.09636,756.03140, 
56.4,-11604.80241,5708.74637,-895.54123,1611.53676,-5180.06051,754.86745,754.80249, 
56.5,-11604.80241,5710.37187,-895.54122,1608.68452,-5181.28723,753.64073,753.57577, 
56.6,-11604.80241,5711.98981,-895.54121,1605.84237,-5182.51144,752.41653,752.35156, 
56.7,-11604.80241,5713.60068,-895.54120,1603.01013,-5183.73280,751.19517,751.13020, 
56.8,-11604.80241,5715.20363,-895.54119,1600.18797,-5184.95200,749.97597,749.91100, 
56.9,-11604.80241,5716.79958,-895.54118,1597.37563,-5186.16838,748.75958,748.69462, 
