Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
60.7,-20308.40449,13566.85953,1141.57688,4032.95169,-1567.01638,3416.82589,3416.03088, 
60.8,-20308.40449,13580.27739,1141.70127,4026.31865,-1560.10718,3409.91669,3409.12168, 
60.9,-20308.40449,13593.64830,1141.82303,4019.70714,-1553.22602,3403.03553,3402.24052, 
61.0,-20308.40449,13606.96968,1141.94215,4013.11756,-1546.37511,3396.18462,3395.38961, 
61.1,-20308.40449,13620.24306,1142.05860,4006.54954,-1539.55329,3389.36280,3388.56779, 
61.2,-20308.40449,13633.46995,1142.17239,4000.00274,-1532.75941,3382.56891,3381.77391, 
61.3,-20308.40449,13646.64781,1142.28352,3993.47755,-1525.99561,3375.80512,3375.01011, 
61.4,-20308.40449,13659.77949,1142.39200,3986.97337,-1519.25964,3369.06915,3368.27414, 
61.5,-20308.40449,13672.86246,1142.49781,3980.49058,-1512.55363,3362.36314,3361.56813, 
61.6,-20308.40449,13685.89822,1142.60099,3974.02885,-1505.87643,3355.68594,3354.89093, 
61.7,-20308.40449,13698.88829,1142.70153,3967.58781,-1499.22687,3349.03638,3348.24137, 
61.8,-20308.40449,13711.83012,1142.79944,3961.16786,-1492.60707,3342.41658,3341.62157, 
61.9,-20308.40449,13724.72657,1142.89476,3954.76841,-1486.01475,3335.82426,3335.02925, 
62.0,-20308.40449,13737.57511,1142.98750,3948.38985,-1479.45203,3329.26154,3328.46653, 
62.1,-20308.40449,13750.37725,1143.07769,3942.03183,-1472.91772,3322.72723,3321.93222, 
62.2,-20308.40449,13763.13446,1143.16538,3935.69402,-1466.41063,3316.22014,3315.42513, 
62.3,-20308.40449,13775.84427,1143.25059,3929.37679,-1459.93285,3309.74236,3308.94735, 
62.4,-20308.40449,13788.50947,1143.33336,3923.07957,-1453.48210,3303.29161,3302.49660, 
62.5,-20308.40449,13801.12758,1143.41372,3916.80273,-1447.06046,3296.86997,3296.07496, 
62.6,-20308.40449,13813.70009,1143.49170,3910.54596,-1440.66674,3290.47625,3289.68124, 
62.7,-20308.40449,13826.22848,1143.56736,3904.30890,-1434.29975,3284.10926,3283.31425, 
62.8,-20308.40449,13838.71028,1143.64071,3898.09194,-1427.96156,3277.77107,3276.97606, 
62.9,-20308.40449,13851.14827,1143.71182,3891.89451,-1421.64988,3271.45939,3270.66438, 
63.0,-20308.40449,13863.54000,1143.78072,3885.71700,-1415.36677,3265.17628,3264.38127, 
63.1,-20308.40449,13875.88695,1143.84744,3879.55906,-1409.11104,3258.92055,3258.12554, 
63.2,-20308.40449,13888.19058,1143.91204,3873.42038,-1402.88149,3252.69100,3251.89599, 
63.3,-20308.40449,13900.44845,1143.97456,3867.30132,-1396.68016,3246.48967,3245.69466, 
63.4,-20308.40449,13912.66333,1144.03504,3861.20134,-1390.50477,3240.31428,3239.51927, 
63.5,-20308.40449,13924.83279,1144.09353,3855.12080,-1384.35737,3234.16687,3233.37187, 
63.6,-20308.40449,13936.95829,1144.15008,3849.05938,-1378.23674,3228.04624,3227.25124, 
63.7,-20308.40449,13949.04131,1144.20472,3843.01677,-1372.14170,3221.95120,3221.15620, 
63.8,-20308.40449,13961.07941,1144.25751,3836.99332,-1366.07425,3215.88376,3215.08875, 
63.9,-20308.40449,13973.07535,1144.30848,3830.98850,-1360.03216,3209.84167,3209.04666, 
64.0,-20308.40449,13985.02672,1144.35769,3825.00267,-1354.01741,3203.82692,3203.03191, 
64.1,-20308.40449,13996.93499,1144.40517,3819.03552,-1348.02881,3197.83832,3197.04331, 
64.2,-20308.40449,14008.80032,1144.45097,3813.08696,-1342.06624,3191.87575,3191.08074, 
64.3,-20308.40449,14020.62545,1144.49515,3807.15644,-1336.12745,3185.93696,3185.14195, 
64.4,-20308.40449,14032.40541,1144.53774,3801.24480,-1330.21654,3180.02605,3179.23104, 
64.5,-20308.40449,14044.14296,1144.57878,3795.35149,-1324.33126,3174.14077,3173.34576, 
64.6,-20308.40449,14055.83826,1144.61832,3789.47642,-1318.47149,3168.28100,3167.48599, 
64.7,-20308.40449,14067.49149,1144.65640,3783.61951,-1312.63709,3162.44660,3161.65159, 
64.8,-20308.40449,14079.10536,1144.69306,3777.78024,-1306.82583,3156.63534,3155.84033, 
64.9,-20308.40449,14090.67497,1144.72835,3771.95940,-1301.04178,3150.85128,3150.05628, 
65.0,-20308.40449,14102.20302,1144.76230,3766.15648,-1295.28269,3145.09220,3144.29719, 
65.1,-20308.40449,14113.68970,1144.79496,3760.37138,-1289.54845,3139.35796,3138.56295, 
65.2,-20308.40449,14125.13519,1144.82636,3754.60402,-1283.83892,3133.64843,3132.85342, 
65.3,-20308.40449,14136.54217,1144.85655,3748.85390,-1278.15187,3127.96138,3127.16637, 
65.4,-20308.40449,14147.90579,1144.88556,3743.12179,-1272.49135,3122.30086,3121.50585, 
65.5,-20308.40449,14159.22874,1144.91342,3737.40719,-1266.85514,3116.66464,3115.86964, 
65.6,-20308.40449,14170.51121,1144.94019,3731.71001,-1261.24309,3111.05260,3110.25759, 
65.7,-20308.40449,14181.75336,1144.96589,3726.03017,-1255.65507,3105.46458,3104.66957, 
65.8,-20308.40449,14192.95788,1144.99055,3720.36717,-1250.08889,3099.89840,3099.10339, 
65.9,-20308.40449,14204.11994,1145.01422,3714.72178,-1244.54855,3094.35806,3093.56305, 
66.0,-20308.40449,14215.24223,1145.03692,3709.09350,-1239.03184,3088.84135,3088.04634, 
66.1,-20308.40449,14226.32493,1145.05869,3703.48225,-1233.53863,3083.34814,3082.55313, 
66.2,-20308.40449,14237.36820,1145.07956,3697.88795,-1228.06879,3077.87830,3077.08329, 
66.3,-20308.40449,14248.37472,1145.09956,3692.31010,-1222.62012,3072.42963,3071.63462, 
66.4,-20308.40449,14259.33969,1145.11872,3686.74948,-1217.19660,3067.00611,3066.21110, 
66.5,-20308.40449,14270.26579,1145.13708,3681.20558,-1211.79604,3061.60555,3060.81054, 
66.6,-20308.40449,14281.15319,1145.15466,3675.67833,-1206.41832,3056.22783,3055.43282, 
66.7,-20308.40449,14292.00206,1145.17149,3670.16765,-1201.06329,3050.87280,3050.07779, 
66.8,-20308.40449,14302.81506,1145.18760,3664.67305,-1195.72879,3045.53830,3044.74329, 
66.9,-20308.40449,14313.58743,1145.20301,3659.19530,-1190.41876,3040.22827,3039.43326, 
67.0,-20308.40449,14324.32182,1145.21775,3653.73389,-1185.13103,3034.94054,3034.14553, 
67.1,-20308.40449,14335.01841,1145.23185,3648.28877,-1179.86546,3029.67497,3028.87996, 
67.2,-20308.40449,14345.67737,1145.24533,3642.85985,-1174.62194,3024.43145,3023.63644, 
67.3,-20308.40449,14356.30133,1145.25821,3637.44665,-1169.39829,3019.20780,3018.41279, 
67.4,-20308.40449,14366.88559,1145.27052,3632.04993,-1164.19845,3014.00796,3013.21295, 
67.5,-20308.40449,14377.43276,1145.28228,3626.66920,-1159.02026,3008.82977,3008.03476, 
67.6,-20308.40449,14387.94302,1145.29351,3621.30439,-1153.86358,3003.67309,3002.87808, 
67.7,-20308.40449,14398.41655,1145.30423,3615.95542,-1148.72829,2998.53780,2997.74279, 
67.8,-20308.40449,14408.85596,1145.31446,3610.62183,-1143.61225,2993.42176,2992.62675, 
67.9,-20308.40449,14419.25657,1145.32422,3605.30435,-1138.51935,2988.32886,2987.53385, 
68.0,-20308.40449,14429.62098,1145.33354,3600.00251,-1133.44746,2983.25697,2982.46196, 
68.1,-20308.40449,14439.94939,1145.34242,3594.71625,-1128.39644,2978.20595,2977.41094, 
68.2,-20308.40449,14450.24195,1145.35089,3589.44548,-1123.36618,2973.17568,2972.38068, 
68.3,-20308.40449,14460.50124,1145.35896,3584.18975,-1118.35454,2968.16405,2967.36904, 
68.4,-20308.40449,14470.72266,1145.36665,3578.94979,-1113.36540,2963.17491,2962.37990, 
68.5,-20308.40449,14480.90876,1145.37398,3573.72512,-1108.39663,2958.20614,2957.41113, 
68.6,-20308.40449,14491.05972,1145.38096,3568.51569,-1103.44812,2953.25763,2952.46262, 
68.7,-20308.40449,14501.17573,1145.38760,3563.32142,-1098.51973,2948.32924,2947.53423, 
68.8,-20308.40449,14511.25933,1145.39393,3558.14186,-1093.60937,2943.41888,2942.62387, 
68.9,-20308.40449,14521.30595,1145.39995,3552.97773,-1088.72087,2938.53038,2937.73537, 
69.0,-20308.40449,14531.31812,1145.40568,3547.82856,-1083.85213,2933.66164,2932.86663, 
69.1,-20308.40449,14541.29604,1145.41112,3542.69430,-1079.00303,2928.81254,2928.01753, 
