Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
56.5,-5802.40120,6542.14129,1036.76900,4289.33609,6065.84518,4.46233,4.18892, 
56.6,-5802.40120,6549.78509,1036.76901,4281.75788,6065.91077,4.39674,4.12333, 
56.7,-5802.40120,6557.40151,1036.76901,4274.20610,6065.97542,4.33209,4.05868, 
56.8,-5802.40120,6564.98924,1036.76901,4266.68121,6066.03826,4.26926,3.99584, 
56.9,-5802.40120,6572.54990,1036.76901,4259.18247,6066.10019,4.20733,3.93391, 
57.0,-5802.40120,6580.08220,1036.76902,4251.71034,6066.16035,4.14717,3.87375, 
57.1,-5802.40120,6587.58701,1036.76902,4244.26437,6066.21920,4.08832,3.81490, 
57.2,-5802.40120,6595.06521,1036.76902,4236.84416,6066.27719,4.03032,3.75691, 
57.3,-5802.40120,6602.51552,1036.76902,4229.45013,6066.33347,3.97404,3.70063, 
57.4,-5802.40120,6609.93953,1036.76902,4222.08158,6066.38893,3.91858,3.64517, 
57.5,-5802.40120,6617.33594,1036.76902,4214.73894,6066.44271,3.86481,3.59139, 
57.6,-5802.40120,6624.70563,1036.76902,4207.42180,6066.49525,3.81226,3.53885, 
57.7,-5802.40120,6632.04946,1036.76902,4200.12974,6066.54703,3.76049,3.48707, 
57.8,-5802.40120,6639.36615,1036.76903,4192.86319,6066.59717,3.71035,3.43693, 
57.9,-5802.40120,6646.65727,1036.76903,4185.62147,6066.64656,3.66095,3.38754, 
58.0,-5802.40120,6653.92154,1036.76903,4178.40499,6066.69435,3.61317,3.33975, 
58.1,-5802.40120,6661.15980,1036.76903,4171.21335,6066.74098,3.56654,3.29312, 
58.2,-5802.40120,6668.37293,1036.76903,4164.04615,6066.78691,3.52060,3.24719, 
58.3,-5802.40120,6675.55963,1036.76903,4156.90382,6066.83127,3.47624,3.20283, 
58.4,-5802.40120,6682.72147,1036.76903,4149.78567,6066.87496,3.43255,3.15914, 
58.5,-5802.40120,6689.85716,1036.76903,4142.69212,6066.91711,3.39041,3.11699, 
58.6,-5802.40120,6696.96754,1036.76903,4135.62279,6066.95816,3.34935,3.07594, 
58.7,-5802.40120,6704.05347,1036.76903,4128.57728,6066.99858,3.30894,3.03552, 
58.8,-5802.40120,6711.11367,1036.76903,4121.55599,6067.03749,3.27003,2.99661, 
58.9,-5802.40120,6718.14966,1036.76903,4114.55829,6067.07578,3.23174,2.95832, 
59.0,-5802.40120,6725.16019,1036.76903,4107.58456,6067.11258,3.19493,2.92152, 
59.1,-5802.40120,6732.14609,1036.76903,4100.63444,6067.14836,3.15916,2.88574, 
59.2,-5802.40120,6739.10818,1036.76903,4093.70754,6067.18354,3.12397,2.85056, 
59.3,-5802.40120,6746.04519,1036.76903,4086.80426,6067.21727,3.09024,2.81683, 
59.4,-5802.40120,6752.95865,1036.76903,4079.92396,6067.25043,3.05708,2.78367, 
59.5,-5802.40120,6759.84729,1036.76903,4073.06705,6067.28216,3.02535,2.75194, 
59.6,-5802.40120,6766.71193,1036.76903,4066.23315,6067.31290,2.99461,2.72120, 
59.7,-5802.40120,6773.55339,1036.76903,4059.42188,6067.34310,2.96441,2.69100, 
59.8,-5802.40120,6780.37041,1036.76903,4052.63365,6067.37189,2.93562,2.66221, 
59.9,-5802.40120,6787.16450,1036.76903,4045.86783,6067.40016,2.90736,2.63394, 
60.0,-5802.40120,6793.93438,1036.76903,4039.12482,6067.42703,2.88048,2.60707, 
60.1,-5802.40120,6800.68088,1036.76903,4032.40425,6067.45296,2.85455,2.58114, 
60.2,-5802.40120,6807.40480,1036.76903,4025.70575,6067.47838,2.82913,2.55572, 
60.3,-5802.40120,6814.10489,1036.76903,4019.02972,6067.50244,2.80508,2.53166, 
60.4,-5802.40120,6820.78263,1036.76903,4012.37555,6067.52600,2.78151,2.50810, 
60.5,-5802.40120,6827.43676,1036.76903,4005.74362,6067.54822,2.75930,2.48588, 
60.6,-5802.40120,6834.06810,1036.76903,3999.13359,6067.56952,2.73800,2.46458, 
60.7,-5802.40120,6840.67744,1036.76903,3992.54508,6067.59035,2.71717,2.44375, 
60.8,-5802.40120,6847.26352,1036.76903,3985.97849,6067.60985,2.69767,2.42425, 
60.9,-5802.40120,6853.82783,1036.76903,3979.43322,6067.62888,2.67863,2.40522, 
61.0,-5802.40120,6860.36911,1036.76903,3972.90966,6067.64660,2.66092,2.38750, 
61.1,-5802.40120,6866.88816,1036.76903,3966.40745,6067.66344,2.64408,2.37066, 
61.2,-5802.40120,6873.38575,1036.76903,3959.92625,6067.67983,2.62769,2.35427, 
61.3,-5802.40120,6879.86066,1036.76903,3953.46643,6067.69492,2.61259,2.33918, 
61.4,-5802.40120,6886.31433,1036.76903,3947.02742,6067.70958,2.59794,2.32452, 
61.5,-5802.40120,6892.74553,1036.76903,3940.60958,6067.72294,2.58457,2.31116, 
61.6,-5802.40120,6899.15504,1036.76903,3934.21259,6067.73546,2.57206,2.29864, 
61.7,-5802.40120,6905.54364,1036.76903,3927.83608,6067.74755,2.55997,2.28655, 
61.8,-5802.40120,6911.91008,1036.76903,3921.48046,6067.75837,2.54915,2.27573, 
61.9,-5802.40120,6918.25582,1036.76903,3915.14513,6067.76878,2.53874,2.26532, 
62.0,-5802.40120,6924.57962,1036.76903,3908.83047,6067.77792,2.52959,2.25618, 
62.1,-5802.40120,6930.88225,1036.76903,3902.53616,6067.78624,2.52128,2.24786, 
62.2,-5802.40120,6937.16449,1036.76903,3896.26184,6067.79415,2.51336,2.23995, 
62.3,-5802.40120,6943.42509,1036.76903,3890.00790,6067.80082,2.50669,2.23328, 
62.4,-5802.40120,6949.66550,1036.76903,3883.77377,6067.80710,2.50042,2.22700, 
62.5,-5802.40120,6955.88448,1036.76903,3877.55983,6067.81214,2.49538,2.22196, 
62.6,-5802.40120,6962.08280,1036.76903,3871.36574,6067.81637,2.49115,2.21773, 
62.7,-5802.40120,6968.26122,1036.76903,3865.19117,6067.82022,2.48729,2.21388, 
62.8,-5802.40120,6974.41852,1036.76903,3859.03650,6067.82285,2.48466,2.21125, 
62.9,-5802.40120,6980.55611,1036.76903,3852.90117,6067.82511,2.48241,2.20899, 
63.0,-5802.40120,6986.67278,1036.76903,3846.78554,6067.82615,2.48136,2.20795, 
63.1,-5802.40120,6992.76927,1036.76903,3840.68931,6067.82641,2.48111,2.20769, 
63.2,-5802.40120,6998.84635,1036.76903,3834.61213,6067.82630,2.48121,2.20780, 
63.3,-5802.40120,7004.90279,1036.76903,3828.55438,6067.82500,2.48251,2.20910, 
63.4,-5802.40120,7010.94000,1036.76903,3822.51551,6067.82334,2.48417,2.21076, 
63.5,-5802.40120,7016.95677,1036.76903,3816.49589,6067.82050,2.48702,2.21360, 
63.6,-5802.40120,7022.95385,1036.76903,3810.49521,6067.81689,2.49063,2.21721, 
63.7,-5802.40120,7028.93197,1036.76903,3804.51313,6067.81293,2.49458,2.22117, 
63.8,-5802.40120,7034.88994,1036.76903,3798.55003,6067.80780,2.49971,2.22630, 
63.9,-5802.40120,7040.82914,1036.76903,3792.60538,6067.80234,2.50517,2.23176, 
64.0,-5802.40120,7046.74836,1036.76903,3786.67952,6067.79571,2.51180,2.23839, 
64.1,-5802.40120,7052.64836,1036.76903,3780.77215,6067.78834,2.51917,2.24576, 
64.2,-5802.40120,7058.52921,1036.76903,3774.88319,6067.78023,2.52729,2.25387, 
64.3,-5802.40120,7064.39229,1036.76903,3769.01210,6067.77222,2.53529,2.26188, 
64.4,-5802.40120,7070.23513,1036.76903,3763.15968,6067.76264,2.54487,2.27146, 
64.5,-5802.40120,7076.05910,1036.76903,3757.32542,6067.75234,2.55517,2.28176, 
64.6,-5802.40120,7081.86428,1036.76903,3751.50921,6067.74132,2.56620,2.29278, 
64.7,-5802.40120,7087.65077,1036.76903,3745.71099,6067.72958,2.57793,2.30452, 
64.8,-5802.40120,7093.41992,1036.76903,3739.93021,6067.71797,2.58955,2.31613, 
64.9,-5802.40120,7099.16928,1036.76903,3734.16770,6067.70481,2.60270,2.32929, 
65.0,-5802.40120,7104.90021,1036.76903,3728.42291,6067.69095,2.61656,2.34315, 
65.1,-5802.40120,7110.61280,1036.76903,3722.69578,6067.67640,2.63111,2.35770, 
65.2,-5802.40120,7116.30712,1036.76903,3716.98621,6067.66116,2.64636,2.37294, 
65.3,-5802.40120,7121.98454,1036.76903,3711.29369,6067.64606,2.66146,2.38804, 
65.4,-5802.40120,7127.64260,1036.76903,3705.61902,6067.62945,2.67807,2.40465, 
65.5,-5802.40120,7133.28266,1036.76903,3699.96167,6067.61216,2.69536,2.42194, 
65.6,-5802.40120,7138.90480,1036.76903,3694.32157,6067.59420,2.71331,2.43990, 
65.7,-5802.40120,7144.50911,1036.76903,3688.69864,6067.57558,2.73193,2.45852, 
65.8,-5802.40120,7150.09693,1036.76903,3683.09237,6067.55713,2.75039,2.47697, 
65.9,-5802.40120,7155.66582,1036.76903,3677.50355,6067.53719,2.77032,2.49691, 
66.0,-5802.40120,7161.21712,1036.76903,3671.93166,6067.51661,2.79091,2.51749, 
66.1,-5802.40120,7166.75093,1036.76903,3666.37662,6067.49538,2.81213,2.53872, 
66.2,-5802.40120,7172.26731,1036.76903,3660.83838,6067.47352,2.83400,2.56058, 
66.3,-5802.40120,7177.76761,1036.76903,3655.31641,6067.45185,2.85566,2.58225, 
66.4,-5802.40120,7183.24940,1036.76903,3649.81150,6067.42873,2.87878,2.60537, 
66.5,-5802.40120,7188.71402,1036.76903,3644.32315,6067.40500,2.90252,2.62910, 
66.6,-5802.40120,7194.16154,1036.76903,3638.85127,6067.38065,2.92687,2.65345, 
66.7,-5802.40120,7199.59205,1036.76903,3633.39581,6067.35569,2.95182,2.67841, 
66.8,-5802.40120,7205.00687,1036.76903,3627.95626,6067.33096,2.97656,2.70314, 
66.9,-5802.40120,7210.40359,1036.76903,3622.53339,6067.30481,3.00271,2.72929, 
67.0,-5802.40120,7215.78353,1036.76903,3617.12671,6067.27807,3.02945,2.75603, 
67.1,-5802.40120,7221.14678,1036.76903,3611.73614,6067.25075,3.05676,2.78335, 
67.2,-5802.40120,7226.49342,1036.76903,3606.36161,6067.22286,3.08466,2.81124, 
67.3,-5802.40120,7231.82474,1036.76903,3601.00265,6067.19521,3.11230,2.83889, 
67.4,-5802.40120,7237.13837,1036.76903,3595.66000,6067.16619,3.14132,2.86791, 
67.5,-5802.40120,7242.43561,1036.76903,3590.33317,6067.13662,3.17090,2.89748, 
67.6,-5802.40120,7247.71655,1036.76903,3585.02211,6067.10649,3.20102,2.92761, 
67.7,-5802.40120,7252.98126,1036.76903,3579.72674,6067.07582,3.23169,2.95828, 
67.8,-5802.40120,7258.23103,1036.76903,3574.44658,6067.04544,3.26208,2.98866, 
67.9,-5802.40120,7263.46350,1036.76903,3569.18238,6067.01371,3.29380,3.02039, 
68.0,-5802.40120,7268.67997,1036.76903,3563.93367,6066.98146,3.32605,3.05264, 
68.1,-5802.40120,7273.88051,1036.76903,3558.70036,6066.94870,3.35881,3.08540, 
68.2,-5802.40120,7279.06520,1036.76903,3553.48241,6066.91543,3.39208,3.11867, 
68.3,-5802.40120,7284.23531,1036.76903,3548.27933,6066.88247,3.42504,3.15163, 
68.4,-5802.40120,7289.38851,1036.76903,3543.09187,6066.84821,3.45930,3.18589, 
68.5,-5802.40120,7294.52609,1036.76903,3537.91955,6066.81347,3.49405,3.22063, 
68.6,-5802.40120,7299.64810,1036.76903,3532.76231,6066.77824,3.52927,3.25586, 
68.7,-5802.40120,7304.75463,1036.76903,3527.62009,6066.74254,3.56497,3.29156, 
68.8,-5802.40120,7309.84694,1036.76903,3522.49242,6066.70719,3.60032,3.32691, 
68.9,-5802.40120,7314.92272,1036.76903,3517.38003,6066.67057,3.63694,3.36353, 
69.0,-5802.40120,7319.98322,1036.76903,3512.28245,6066.63350,3.67401,3.40060, 
69.1,-5802.40120,7325.02853,1036.76903,3507.19963,6066.59599,3.71152,3.43811, 
69.2,-5802.40120,7330.05871,1036.76903,3502.13150,6066.55804,3.74947,3.47606, 
69.3,-5802.40120,7335.07503,1036.76903,3497.07761,6066.52047,3.78704,3.51363, 
69.4,-5802.40120,7340.07517,1036.76903,3492.03867,6066.48167,3.82584,3.55243, 
69.5,-5802.40120,7345.06039,1036.76903,3487.01423,6066.44246,3.86506,3.59164, 
69.6,-5802.40120,7350.03077,1036.76903,3482.00423,6066.40283,3.90468,3.63127, 
69.7,-5802.40120,7354.98637,1036.76903,3477.00861,6066.36281,3.94471,3.67129, 
69.8,-5802.40120,7359.92845,1036.76903,3472.02692,6066.32319,3.98432,3.71091, 
69.9,-5802.40120,7364.85470,1036.76903,3467.05986,6066.28238,4.02513,3.75172, 
70.0,-5802.40120,7369.76638,1036.76903,3462.10699,6066.24120,4.06632,3.79290, 
70.1,-5802.40120,7374.66355,1036.76903,3457.16825,6066.19963,4.10788,3.83447, 
70.2,-5802.40120,7379.54629,1036.76903,3452.24359,6066.15770,4.14981,3.87640, 
70.3,-5802.40120,7384.41583,1036.76903,3447.33256,6066.11621,4.19130,3.91789, 
70.4,-5802.40120,7389.26989,1036.76903,3442.43585,6066.07357,4.23395,3.96053, 
70.5,-5802.40120,7394.10971,1036.76903,3437.55304,6066.03057,4.27694,4.00353, 
70.6,-5802.40120,7398.93535,1036.76903,3432.68406,6065.98724,4.32027,4.04686, 
70.7,-5802.40120,7403.74689,1036.76903,3427.82885,6065.94357,4.36394,4.09053, 
70.8,-5802.40120,7408.54555,1036.76903,3422.98699,6065.90037,4.40715,4.13373, 
70.9,-5802.40120,7413.32906,1036.76903,3418.15916,6065.85604,4.45147,4.17806, 
71.0,-5802.40120,7418.09865,1036.76903,3413.34492,6065.81140,4.49611,4.22270, 
71.1,-5802.40120,7422.85440,1036.76903,3408.54423,6065.76645,4.54106,4.26765, 
71.2,-5802.40120,7427.59635,1036.76903,3403.75702,6065.72120,4.58632,4.31290, 
71.3,-5802.40120,7432.32573,1036.76903,3398.98287,6065.67643,4.63108,4.35767, 
71.4,-5802.40120,7437.04028,1036.76903,3394.22247,6065.63058,4.67694,4.40352, 
71.5,-5802.40120,7441.74123,1036.76903,3389.47537,6065.58444,4.72308,4.44966, 
71.6,-5802.40120,7446.42864,1036.76903,3384.74154,6065.53801,4.76950,4.49609, 
71.7,-5802.40120,7451.10257,1036.76903,3380.02092,6065.49131,4.81620,4.54279, 
71.8,-5802.40120,7455.76421,1036.76903,3375.31308,6065.44512,4.86239,4.58898, 
71.9,-5802.40120,7460.41135,1036.76903,3370.61869,6065.39787,4.90964,4.63623, 
