Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
47.2,-6823.62391,3573.64396,-60.57179,2033.25818,-1277.29356,23.22712,23.37044, 
47.3,-6823.62391,3577.74333,-60.57179,2028.95960,-1277.49276,23.02791,23.17124, 
47.4,-6823.62391,3581.83106,-60.57179,2024.67900,-1277.68564,22.83503,22.97836, 
47.5,-6823.62391,3585.90630,-60.57179,2020.41658,-1277.87282,22.64786,22.79118, 
47.6,-6823.62391,3589.96957,-60.57179,2016.17207,-1278.05406,22.46662,22.60994, 
47.7,-6823.62391,3594.02134,-60.57179,2011.94520,-1278.22916,22.29152,22.43484, 
47.8,-6823.62391,3598.06077,-60.57179,2007.73618,-1278.39876,22.12192,22.26524, 
47.9,-6823.62391,3602.08878,-60.57179,2003.54456,-1278.56236,21.95832,22.10164, 
48.0,-6823.62391,3606.10451,-60.57179,1999.37058,-1278.72061,21.80007,21.94339, 
48.1,-6823.62391,3610.10842,-60.57179,1995.21394,-1278.87333,21.64734,21.79067, 
48.2,-6823.62391,3614.10097,-60.57179,1991.07440,-1279.02033,21.50034,21.64367, 
48.3,-6823.62391,3618.08127,-60.57179,1986.95216,-1279.16228,21.35840,21.50172, 
48.4,-6823.62391,3622.05021,-60.57179,1982.84679,-1279.29870,21.22197,21.36530, 
48.5,-6823.62391,3626.00690,-60.57179,1978.75851,-1279.43029,21.09039,21.23371, 
48.6,-6823.62391,3629.95177,-60.57179,1974.68705,-1279.55688,20.96380,21.10712, 
48.7,-6823.62391,3633.88525,-60.57179,1970.63216,-1279.67829,20.84238,20.98571, 
48.8,-6823.62391,3637.80643,-60.57179,1966.59404,-1279.79523,20.72544,20.86877, 
48.9,-6823.62391,3641.71615,-60.57179,1962.57228,-1279.90726,20.61341,20.75674, 
49.0,-6823.62391,3645.61353,-60.57179,1958.56710,-1280.01508,20.50560,20.64892, 
49.1,-6823.62391,3649.49895,-60.57179,1954.57822,-1280.11853,20.40215,20.54547, 
